"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"#MAGiCVLGiRL_TRVP_B3VTZ[A]","0.816944512356938","0.054698599655969","14.9353825782593","3.64436558025711e-08"
"-65℃[A]","0.724080447004941","0.0673823497497721","10.7458473872439","8.19014307501867e-07"
"199024club -Re:BounceKiller-[A]","0.771913376623368","0.0538738747492421","14.3281577613689","5.42624234419637e-08"
"2 Beasts Unchained[A]","0.730187019290708","0.0478229299389563","15.2685546498878","2.94780042379029e-08"
"24h Endurance Race[A]","0.618925683576652","0.0453841720087068","13.6374787989503","8.69915687489297e-08"
"255[A]","0.931013866790459","0.055015899399797","16.922632856092","1.09165663034164e-08"
"3y3s[A]","0.864207690440166","0.0647642990974861","13.3438901135844","1.07023027101457e-07"
"3!dolon Forc3[A]","0.62630880484809","0.0490163509136496","12.7775485766257","1.6152960511057e-07"
"AA -rebuild-[A]","0.922701065501211","0.0323432847553035","28.528366011121","6.51660470509445e-11"
"AA[A]","0.950076113674468","0.0731039456295315","12.9962357776031","1.37528223625069e-07"
"ABSOLUTE EVIL[A]","0.896619468495285","0.0573851296430974","15.6245960246451","2.36093121334003e-08"
"Adularia[A]","0.791530001778817","0.033536822708381","23.6018184746228","4.22888309122164e-10"
"Aftermath[A]","0.848098188636973","0.0341396204129579","24.8420509185003","2.55403613870102e-10"
"AIR RAID FROM THA UNDAGROUND[L]","0.668961207824262","0.0477687868538017","14.0041489827164","6.75320605813289e-08"
"AKASHIC BREAK[A]","0.682076962494837","0.0504790022301526","13.5120927982093","9.49943591515523e-08"
"ALBIDA[A]","0.736683220511262","0.0500333811135315","14.7238344504371","4.17931016616153e-08"
"Almagest[A]","1.06861651101089","0.0372096896544648","28.718769786425","6.10170784339955e-11"
"ALTERNATOR[A]","0.768586927404132","0.0509049025214451","15.0984853979505","3.28313444176648e-08"
"Amazing Mirage[L]","0.743169053304114","0.0494597924960719","15.0257212131073","3.43919550748654e-08"
"ANCHOR[A]","0.906429467573398","0.0379935726938439","23.8574422805009","3.80355784068714e-10"
"Ancient Scapes[A]","0.857360902870613","0.0494497907259229","17.3380087212616","8.62892217246862e-09"
"Ancient Scapes[L]","0.93538013587837","0.0508595993685825","18.3914176967777","4.86343426875908e-09"
"Angel's Ladder[A]","0.905114986036288","0.0264199625804588","34.2587535194218","1.06290910063058e-11"
